type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
EXO,8126816,,,,,,,,,,,,SAFE,-12.09,-0.183,1.0,1.286,-0.001,0.009,0.0,0.009,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8141446.0,1,0.5059,-0.0552,0.8716,0.12,-0.55,-0.06,-3.52,-30.29,0.48,26.7,,,,,,,,,,,,,,,,
IMU,8183658.0,2,0.2476,0.4175,0.8706,0.12,0.24,0.0,25.77,-14.46,-0.09,27.6,,,,,,,,,,,,,,,,
EXO,8226832,,,,,,,,,,,,SAFE,-12.09,0.244,0.997,1.286,0.011,0.009,0.0,0.009,0.019,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8241625.0,1,0.5073,-0.0547,0.8633,0.24,-0.12,-0.12,-3.49,-30.32,0.47,26.8,,,,,,,,,,,,,,,,
IMU,8283602.0,2,0.2485,0.4189,0.8701,0.49,-0.31,-0.18,25.8,-14.46,-0.1,27.5,,,,,,,,,,,,,,,,
EXO,8326983,,,,,,,,,,,,SAFE,-12.085,-0.305,0.997,1.286,0.03,0.009,0.0,0.009,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8341808.0,1,0.5049,-0.0522,0.8687,0.24,-0.67,-0.12,-3.47,-30.34,0.44,26.8,,,,,,,,,,,,,,,,
IMU,8383578.0,2,0.2466,0.4199,0.8726,0.31,0.24,-0.24,25.82,-14.44,-0.12,27.6,,,,,,,,,,,,,,,,
EXO,8426922,,,,,,,,,,,,SAFE,-12.068,0.244,0.999,1.286,0.045,0.009,0.0,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8441960.0,1,0.5049,-0.0542,0.8647,0.06,0.0,0.0,-3.44,-30.37,0.44,26.6,,,,,,,,,,,,,,,,
IMU,8483428.0,2,0.25,0.4209,0.873,0.24,0.0,-0.18,25.84,-14.43,-0.13,27.7,,,,,,,,,,,,,,,,
EXO,8526708,,,,,,,,,,,,SAFE,-12.057,0.0,1.001,1.286,-0.044,0.009,0.0,0.009,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8542111.0,1,0.5078,-0.0513,0.8662,0.06,0.0,0.0,-3.44,-30.37,0.44,26.7,,,,,,,,,,,,,,,,
IMU,8583343.0,2,0.2505,0.4209,0.8701,0.06,0.24,-0.18,25.85,-14.43,-0.14,27.6,,,,,,,,,,,,,,,,
EXO,8626706,,,,,,,,,,,,SAFE,-12.057,0.244,0.999,1.286,0.002,0.009,0.0,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8642307.0,1,0.5063,-0.0532,0.8628,0.12,0.0,0.0,-3.43,-30.38,0.44,26.7,,,,,,,,,,,,,,,,
IMU,8683264.0,2,0.252,0.4199,0.8745,0.12,0.0,-0.12,25.86,-14.42,-0.14,27.7,,,,,,,,,,,,,,,,
EXO,8726696,,,,,,,,,,,,SAFE,-12.047,0.0,1.002,1.286,0.079,0.009,0.0,0.009,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8742466.0,1,0.5068,-0.0518,0.8662,0.06,-0.06,0.0,-3.43,-30.38,0.44,26.7,,,,,,,,,,,,,,,,
IMU,8783160.0,2,0.2529,0.4214,0.873,0.06,0.0,0.0,25.87,-14.42,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,8826722,,,,,,,,,,,,SAFE,-12.047,0.0,1.002,1.286,0.116,0.009,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8842589.0,1,0.5078,-0.0508,0.8643,0.0,0.0,0.0,-3.43,-30.39,0.44,26.7,,,,,,,,,,,,,,,,
IMU,8883153.0,2,0.2451,0.4204,0.8721,0.18,-0.06,0.0,25.87,-14.41,-0.15,27.5,,,,,,,,,,,,,,,,
EXO,8926707,,,,,,,,,,,,SAFE,-12.041,-0.061,0.999,1.286,0.045,0.009,0.0,0.009,-0.038,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8942793.0,1,0.5073,-0.0518,0.8628,0.0,-0.12,0.0,-3.43,-30.39,0.44,26.8,,,,,,,,,,,,,,,,
IMU,8983020.0,2,0.2466,0.4199,0.875,0.0,0.06,0.0,25.87,-14.41,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9026790,,,,,,,,,,,,SAFE,-12.041,0.061,1.001,1.286,-0.001,0.009,0.0,0.009,0.019,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9042966.0,1,0.5088,-0.0513,0.8633,0.06,-0.06,0.0,-3.43,-30.38,0.44,26.6,,,,,,,,,,,,,,,,
IMU,9082942.0,2,0.249,0.4204,0.874,0.0,0.06,0.0,25.87,-14.41,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9126762,,,,,,,,,,,,SAFE,-12.041,0.061,1.001,1.286,0.096,0.009,0.0,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9143122.0,1,0.5044,-0.0522,0.8647,-0.06,0.0,0.0,-3.43,-30.38,0.44,26.7,,,,,,,,,,,,,,,,
IMU,9182843.0,2,0.2466,0.4219,0.8696,0.0,-0.06,0.0,25.87,-14.42,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9226800,,,,,,,,,,,,SAFE,-12.047,-0.061,0.998,1.286,-0.034,0.009,0.0,0.009,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9243230.0,1,0.5068,-0.0527,0.8672,0.0,0.0,0.0,-3.43,-30.38,0.44,26.8,,,,,,,,,,,,,,,,
IMU,9282782.0,2,0.2524,0.4194,0.874,0.06,0.0,0.0,25.86,-14.42,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9326625,,,,,,,,,,,,SAFE,-12.047,0.0,1.002,1.286,-0.03,0.009,0.0,0.009,0.011,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9343481.0,1,0.5088,-0.0513,0.8657,0.0,-0.12,0.0,-3.43,-30.38,0.44,26.7,,,,,,,,,,,,,,,,
IMU,9382756.0,2,0.2505,0.4219,0.8716,0.0,0.06,0.0,25.86,-14.43,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,9426731,,,,,,,,,,,,SAFE,-12.052,0.061,1.0,1.286,0.018,0.009,0.0,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9443612.0,1,0.5049,-0.0537,0.8657,0.0,0.0,0.0,-3.43,-30.38,0.44,26.9,,,,,,,,,,,,,,,,
IMU,9482627.0,2,0.2524,0.4224,0.8716,0.0,-0.06,0.0,25.86,-14.43,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9526705,,,,,,,,,,,,SAFE,-12.052,-0.061,1.001,1.286,-0.05,0.009,0.0,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9543825.0,1,0.5073,-0.0527,0.8647,0.0,0.12,0.0,-3.44,-30.37,0.44,26.7,,,,,,,,,,,,,,,,
IMU,9582503.0,2,0.2495,0.4199,0.8682,0.0,0.0,0.0,25.85,-14.43,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9626624,,,,,,,,,,,,SAFE,-12.052,0.0,0.996,1.286,0.025,0.009,0.0,0.009,-0.031,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9643933.0,1,0.5073,-0.0532,0.8638,0.0,0.0,0.0,-3.44,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,9682433.0,2,0.2485,0.4209,0.8716,0.0,0.0,0.0,25.85,-14.43,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9726606,,,,,,,,,,,,SAFE,-12.057,0.0,0.999,1.286,-0.052,0.009,0.0,0.009,-0.017,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9744119.0,1,0.5078,-0.0518,0.8618,0.0,0.0,0.0,-3.44,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,9782425.0,2,0.2495,0.4209,0.8691,-0.06,0.0,0.0,25.84,-14.43,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,9826695,,,,,,,,,,,,SAFE,-12.057,0.0,0.997,1.286,-0.034,0.009,0.0,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9844355.0,1,0.5059,-0.0527,0.8618,0.0,-0.06,0.0,-3.44,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,9882398.0,2,0.25,0.4209,0.876,-0.06,0.18,0.0,25.83,-14.43,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,9926915,,,,,,,,,,,,SAFE,-12.057,0.183,1.003,1.286,-0.007,0.009,0.0,0.009,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9944596.0,1,0.5059,-0.0537,0.8687,0.0,0.18,0.0,-3.44,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,9982229.0,2,0.251,0.4199,0.8682,0.0,0.0,0.0,25.84,-14.44,-0.16,27.7,,,,,,,,,,,,,,,,
EXO,10026655,,,,,,,,,,,,SAFE,-12.063,0.0,0.997,1.286,-0.065,0.009,0.0,0.009,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10044685.0,1,0.5073,-0.0522,0.8633,0.0,0.0,0.0,-3.44,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,10082159.0,2,0.2485,0.4214,0.8701,0.0,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,10126796,,,,,,,,,,,,SAFE,-12.063,0.0,0.998,1.286,-0.108,0.009,0.0,0.009,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10144852.0,1,0.5068,-0.0527,0.8647,0.06,0.0,0.0,-3.45,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,10182137.0,2,0.249,0.4209,0.8726,0.06,0.0,0.0,25.83,-14.44,-0.15,27.8,,,,,,,,,,,,,,,,
EXO,10226799,,,,,,,,,,,,SAFE,-12.063,0.0,1.0,1.286,-0.15,0.009,0.0,0.009,0.013,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10244985.0,1,0.5083,-0.0527,0.8638,0.0,0.0,0.0,-3.45,-30.36,0.44,26.8,,,,,,,,,,,,,,,,
IMU,10282064.0,2,0.2568,0.4185,0.8721,0.0,0.06,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,10326793,,,,,,,,,,,,SAFE,-12.063,0.061,1.001,1.286,0.054,0.009,0.0,0.009,0.011,0.0,0.0,0.0,0.0,0.0,0.0
