type,t_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
EXO,14112071,,,,,,,,,,,SAFE,-8.959,-2.563,0.993,1.205,0.033,-0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14212071,,,,,,,,,,,SAFE,-8.954,0.183,1.01,1.205,0.015,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14312071,,,,,,,,,,,SAFE,-8.965,1.77,1.01,1.205,0.158,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14412071,,,,,,,,,,,SAFE,-8.921,-0.793,0.992,1.205,-0.049,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14512071,,,,,,,,,,,SAFE,-8.899,0.854,1.008,1.205,0.171,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14612071,,,,,,,,,,,SAFE,-8.882,0.671,1.011,1.205,-0.005,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14712071,,,,,,,,,,,SAFE,-8.91,0.122,0.99,1.205,0.03,-0.0,0.0,0.0,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14812071,,,,,,,,,,,SAFE,-8.839,0.122,1.011,1.205,-0.066,-0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14912071,,,,,,,,,,,SAFE,-8.833,0.916,1.0,1.205,-0.044,-0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15012071,,,,,,,,,,,SAFE,-8.822,-0.977,0.995,1.205,-0.083,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15112071,,,,,,,,,,,SAFE,-8.817,0.244,0.994,1.205,-0.03,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15212071,,,,,,,,,,,SAFE,-8.828,0.366,1.009,1.205,0.065,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15312071,,,,,,,,,,,SAFE,-8.822,0.488,1.001,1.205,-0.06,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15412071,,,,,,,,,,,SAFE,-8.8,-1.221,0.996,1.205,-0.061,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15512071,,,,,,,,,,,SAFE,-8.828,0.793,0.988,1.205,-0.061,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15612071,,,,,,,,,,,SAFE,-8.822,0.244,1.007,1.205,0.07,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15712071,,,,,,,,,,,SAFE,-8.833,-0.366,0.996,1.205,0.006,-0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15812071,,,,,,,,,,,SAFE,-8.817,-0.916,1.001,1.205,0.117,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15912071,,,,,,,,,,,SAFE,-8.849,0.854,0.997,1.205,-0.099,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16012071,,,,,,,,,,,SAFE,-8.855,-1.282,0.997,1.205,0.028,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16112071,,,,,,,,,,,SAFE,-8.893,-0.854,1.006,1.205,0.054,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16212071,,,,,,,,,,,SAFE,-8.926,0.244,0.99,1.205,0.01,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16312071,,,,,,,,,,,SAFE,-9.031,-5.127,0.993,1.205,0.041,-0.0,0.0,0.0,-0.016,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16412071,,,,,,,,,,,SAFE,-9.267,-10.193,1.014,1.205,0.148,-0.0,0.0,0.0,-0.013,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16512071,,,,,,,,,,,SAFE,-9.597,-5.859,1.009,1.205,-0.057,-0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16612071,,,,,,,,,,,SAFE,-9.998,-5.737,1.013,1.205,-0.076,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16712071,,,,,,,,,,,SAFE,-10.091,-0.854,0.985,1.205,-0.009,-0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16812071,,,,,,,,,,,SAFE,-10.135,0.854,1.003,1.205,0.013,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,16912071,,,,,,,,,,,SAFE,-10.311,-2.197,1.019,1.205,0.147,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17012071,,,,,,,,,,,SAFE,-10.349,-5.005,1.001,1.205,0.079,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17112071,,,,,,,,,,,SAFE,-10.613,0.0,0.988,1.205,0.095,-0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17212071,,,,,,,,,,,SAFE,-10.668,0.854,1.01,1.205,0.072,-0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17312071,,,,,,,,,,,SAFE,-10.585,-2.014,1.003,1.205,-0.003,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17412071,,,,,,,,,,,SAFE,-10.662,-4.333,1.005,1.205,0.126,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17512071,,,,,,,,,,,SAFE,-10.778,-3.113,0.995,1.205,-0.119,-0.0,0.0,0.0,-0.016,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17612071,,,,,,,,,,,SAFE,-11.03,-2.38,1.032,1.205,-0.038,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17712071,,,,,,,,,,,SAFE,-11.096,-2.319,0.989,1.205,0.117,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,17812071,,,,,,,,,,,SAFE,-11.245,-2.319,0.993,1.205,-0.041,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
