type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,10749146.0,2,0.5342,-0.71,0.5396,-31.07,17.27,26.37,-51.64,-34.69,82.03,26.9,,,,,,,,,,,,,,,,
EXO,10847885,,,,,,,,,,,,SAFE,-34.689,17.273,1.039,0.621,0.143,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10861138.0,1,0.1938,-0.8633,0.4453,-20.2,20.87,33.57,-59.64,-10.63,37.75,25.2,,,,,,,,,,,,,,,,
IMU,10849069.0,2,0.5479,-0.7305,0.4312,-25.39,10.86,35.16,-54.66,-30.6,82.24,27.0,,,,,,,,,,,,,,,,
EXO,10947860,,,,,,,,,,,,SAFE,-30.597,10.864,1.01,0.62,0.066,-0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10961321.0,1,0.0923,-0.813,0.4326,-33.45,4.27,21.18,-62.13,-7.5,38.02,25.2,,,,,,,,,,,,,,,,
IMU,10949009.0,2,0.4829,-0.7207,0.3882,-35.77,-7.93,22.34,-58.58,-27.95,83.73,26.8,,,,,,,,,,,,,,,,
EXO,11047697,,,,,,,,,,,,SAFE,-27.955,-7.935,0.95,0.62,-0.228,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11061512.0,1,0.0186,-0.8936,0.4043,-29.17,-9.03,25.09,-65.93,-5.95,40.23,25.3,,,,,,,,,,,,,,,,
IMU,11048923.0,2,0.3799,-0.8037,0.4072,-22.16,-27.1,24.6,-63.21,-27.42,87.38,26.9,,,,,,,,,,,,,,,,
EXO,11147871,,,,,,,,,,,,SAFE,-27.416,-27.1,0.978,0.62,-0.03,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11161753.0,1,-0.0381,-0.9282,0.3408,-31.01,6.29,27.28,-68.77,-3.32,40.67,25.4,,,,,,,,,,,,,,,,
IMU,11148860.0,2,0.3311,-0.9087,0.3428,-34.61,-3.66,26.43,-66.9,-25.58,89.43,26.7,,,,,,,,,,,,,,,,
EXO,11247756,,,,,,,,,,,,SAFE,-25.576,-3.662,1.026,0.62,0.111,-0.0,0.0,0.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11261850.0,1,-0.0601,-0.9531,0.2222,-31.98,-14.4,18.86,-72.2,-1.44,42.57,25.3,,,,,,,,,,,,,,,,
IMU,11248794.0,2,0.3784,-0.9087,0.2324,-23.86,-28.2,19.41,-70.99,-24.21,92.61,26.8,,,,,,,,,,,,,,,,
EXO,11348069,,,,,,,,,,,,SAFE,-24.208,-28.198,1.011,0.62,0.041,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11362030.0,1,-0.0693,-0.9409,0.2378,-30.4,-9.46,11.54,-75.0,-0.12,44.43,25.3,,,,,,,,,,,,,,,,
IMU,11348712.0,2,0.3809,-0.8838,0.207,-21.48,-24.11,12.94,-74.28,-23.35,95.72,26.7,,,,,,,,,,,,,,,,
EXO,11447952,,,,,,,,,,,,SAFE,-23.346,-24.109,0.984,0.62,0.013,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11462206.0,1,-0.0342,-0.9473,0.2007,-12.88,-19.1,-2.99,-77.0,0.21,45.49,25.2,,,,,,,,,,,,,,,,
IMU,11448643.0,2,0.3682,-0.8721,0.2397,-4.58,-20.75,-2.62,-76.76,-23.24,97.66,27.0,,,,,,,,,,,,,,,,
EXO,11547886,,,,,,,,,,,,SAFE,-23.236,-20.752,0.976,0.62,0.045,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11562381.0,1,0.0137,-1.0122,0.187,-17.64,21.06,11.6,-78.13,0.64,45.73,25.3,,,,,,,,,,,,,,,,
IMU,11548564.0,2,0.3696,-0.9438,0.1465,-18.86,9.89,9.46,-77.92,-23.24,98.71,26.7,,,,,,,,,,,,,,,,
EXO,11647524,,,,,,,,,,,,SAFE,-23.236,9.888,1.024,0.62,0.109,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11662618.0,1,-0.0591,-1.0005,0.1318,-6.65,40.22,-6.71,-79.23,1.43,42.99,25.3,,,,,,,,,,,,,,,,
IMU,11648491.0,2,0.375,-0.9468,0.1353,-20.81,38.02,-4.39,-79.1,-22.41,96.77,26.8,,,,,,,,,,,,,,,,
EXO,11747665,,,,,,,,,,,,SAFE,-22.412,38.025,1.027,0.621,-0.056,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11762712.0,1,0.0308,-1.061,0.0815,-7.81,-2.56,-4.09,-80.27,0.81,41.2,25.3,,,,,,,,,,,,,,,,
IMU,11748422.0,2,0.3315,-0.9692,0.1699,-11.05,1.83,-12.21,-80.08,-23.1,94.62,26.8,,,,,,,,,,,,,,,,
EXO,11847608,,,,,,,,,,,,SAFE,-23.104,1.831,1.038,0.62,-0.038,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11862884.0,1,-0.0576,-1.0,0.146,-6.35,-7.08,-5.37,-80.89,0.89,41.85,25.3,,,,,,,,,,,,,,,,
IMU,11848338.0,2,0.396,-0.9136,0.1602,-3.66,-7.02,-1.83,-80.68,-23.02,95.21,26.7,,,,,,,,,,,,,,,,
EXO,11947590,,,,,,,,,,,,SAFE,-23.016,-7.019,1.009,0.62,0.088,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11963066.0,1,0.0732,-1.0029,0.1021,-0.85,9.89,-3.72,-81.33,0.27,41.02,25.4,,,,,,,,,,,,,,,,
IMU,11948276.0,2,0.4058,-0.9604,0.1064,-6.77,9.4,-7.08,-81.3,-23.71,94.6,26.9,,,,,,,,,,,,,,,,
EXO,12047362,,,,,,,,,,,,SAFE,-23.708,9.399,1.048,0.621,0.054,-0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12063228.0,1,-0.2222,-1.1104,0.2275,17.27,65.25,16.97,-80.51,2.17,37.94,25.4,,,,,,,,,,,,,,,,
IMU,12048182.0,2,0.4097,-0.8999,0.105,-15.32,58.29,14.28,-80.76,-21.82,91.89,26.9,,,,,,,,,,,,,,,,
EXO,12147704,,,,,,,,,,,,SAFE,-21.824,58.289,0.994,0.62,0.085,-0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12163464.0,1,-0.021,-0.9185,0.0835,-8.3,-28.08,-2.5,-81.61,0.8,37.06,25.3,,,,,,,,,,,,,,,,
IMU,12148129.0,2,0.271,-0.9155,0.1216,6.29,-27.89,-8.54,-81.72,-23.07,89.93,26.9,,,,,,,,,,,,,,,,
EXO,12247655,,,,,,,,,,,,SAFE,-23.066,-27.893,0.963,0.621,-0.029,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12263611.0,1,-0.0933,-1.0283,0.1577,6.53,14.89,11.9,-81.46,1.83,37.08,25.4,,,,,,,,,,,,,,,,
IMU,12248070.0,2,0.3857,-0.894,0.1406,-2.93,14.1,9.89,-81.62,-21.94,90.37,26.8,,,,,,,,,,,,,,,,
EXO,12347454,,,,,,,,,,,,SAFE,-21.94,14.099,0.984,0.62,-0.015,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12363779.0,1,0.0767,-0.9492,0.0503,2.08,-22.22,-17.46,-82.06,-0.36,39.23,25.3,,,,,,,,,,,,,,,,
IMU,12347956.0,2,0.3838,-0.936,0.0791,16.05,-32.29,-22.89,-82.19,-24.09,91.94,26.8,,,,,,,,,,,,,,,,
EXO,12447856,,,,,,,,,,,,SAFE,-24.088,-32.288,1.015,0.621,0.159,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12463982.0,1,-0.0869,-1.0493,0.209,6.35,25.63,10.13,-81.19,0.12,38.62,25.5,,,,,,,,,,,,,,,,
IMU,12447867.0,2,0.3491,-0.8833,0.106,4.76,24.84,13.79,-80.98,-23.91,91.58,26.9,,,,,,,,,,,,,,,,
EXO,12547451,,,,,,,,,,,,SAFE,-23.912,24.841,0.956,0.621,0.023,-0.0,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12564162.0,1,0.0713,-0.9819,0.0708,-8.18,-9.4,2.08,-81.71,-0.06,39.03,25.4,,,,,,,,,,,,,,,,
IMU,12547792.0,2,0.4062,-0.9248,0.0874,-0.67,-17.09,-2.81,-81.57,-23.91,91.46,26.8,,,,,,,,,,,,,,,,
EXO,12647592,,,,,,,,,,,,SAFE,-23.906,-17.09,1.014,0.621,0.091,-0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12664387.0,1,-0.0586,-0.9897,0.106,2.01,5.37,12.39,-81.6,1.2,38.45,25.3,,,,,,,,,,,,,,,,
IMU,12647778.0,2,0.3877,-0.877,0.1045,-0.37,8.73,15.32,-81.59,-22.75,91.11,27.0,,,,,,,,,,,,,,,,
EXO,12747314,,,,,,,,,,,,SAFE,-22.753,8.728,0.965,0.621,0.217,-0.0,0.0,0.0,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12764560.0,1,-0.0249,-0.9751,0.1016,6.47,-7.57,-0.79,-81.19,1.17,39.36,25.5,,,,,,,,,,,,,,,,
IMU,12747663.0,2,0.354,-0.9326,0.085,7.81,-8.0,-2.14,-81.55,-22.57,91.65,26.9,,,,,,,,,,,,,,,,
EXO,12847438,,,,,,,,,,,,SAFE,-22.571,-7.996,1.001,0.621,0.093,-0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12864670.0,1,-0.0464,-0.9546,0.1729,7.69,3.48,0.18,-80.62,1.34,39.48,25.4,,,,,,,,,,,,,,,,
IMU,12847585.0,2,0.3086,-0.8887,0.1587,3.11,6.23,0.43,-80.91,-22.36,91.61,26.8,,,,,,,,,,,,,,,,
EXO,12947072,,,,,,,,,,,,SAFE,-22.363,6.226,0.954,0.621,0.132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12964829.0,1,0.0513,-1.0415,0.1138,5.92,-13.18,-9.28,-80.1,0.64,39.68,25.4,,,,,,,,,,,,,,,,
